ancestry,white,black,indig,asian,latino,mixed,other,N,meso,big,entropy,eplusone,eminusone,eplustwo,eminustwo
"St Vincent Islander (1990); Vincent-Grenadine Islander (2000 Census, 2005 ACS, 2005 PRCS)",8.972288,1214.261,.8207732,.0787043,15.08874,18.42805,3.350554,1261,7,2,0.107672268923,0.0950177643583,0.120155933449,0.0820453537915,0.132534910559
Grenadian,46.83447,2312.911,0,1.229751,12.6266,48.29804,3.100359,2425,7,2,0.123380860249,0.11408067589,0.132587884648,0.104585495034,0.141876721894
St Lucia Islander,3.201706,1004.265,.976258,.7453153,9.416166,22.90532,5.490139,1047,7,2,0.116093301596,0.101901643416,0.13038240573,0.0874237790416,0.14384794349
"West Indian (1990-2000, ACS, PRCS)",368.557,14990.35,87.56629,475.4079,739.5138,672.7487,271.8604,17606,7,2,0.341375956223,0.336728984995,0.346167782399,0.331822927067,0.350831703859
Haitian,512.4202,67746.51,87.81294,287.9146,274.3577,1107.138,141.8492,70158,7,2,0.102936789901,0.101210150619,0.104676591179,0.0994366548467,0.106400942838
Guyanese/British Guiana,409.6396,10006.6,199.898,2944.193,114.3043,979.9394,3230.428,17885,7,2,0.647184018374,0.643654544076,0.650743449551,0.63998467622,0.654235264343
Algerian,741.3737,68.41009,0,1.373001,.4398934,22.70117,18.70214,853,8,1,0.268244446017,0.250247531437,0.286251169257,0.233003766339,0.303817316705
Egyptian,16443.55,646.962,10.20779,31.31673,42.79568,552.7615,143.4098,17871,8,1,0.191719737006,0.18786683091,0.195588119246,0.184035880044,0.199554748012
"Moroccan (1990-2000, ACS, PRCS)",3984.14,564.7703,56.85994,92.96868,28.49173,268.3575,114.4116,5110,8,1,0.426325972335,0.418054741019,0.434589832056,0.409516191762,0.442922819114
North African,46.90798,4.099224,0,0,0,6.992794,0,58,8,1,0.325292998757,0.269066501902,0.382064745313,0.218397474386,0.447976795026
Iranian,39608.58,41.2597,5.31687,516.119,100.3044,2414.605,211.8116,42898,8,1,0.173202309167,0.170913765442,0.175532168298,0.168520091285,0.177922319217
Iraqi,5319.262,15.9009,5.115811,45.10739,16.05796,232.2758,15.28012,5649,8,1,0.145187358092,0.13874202144,0.151588240721,0.132433994306,0.157926343129
Israeli,11575.11,125.8656,.7549194,10.05906,71.8546,89.21774,27.13788,11900,8,1,0.0838859257532,0.0800246365837,0.0877418215009,0.0761494233016,0.0916395817378
Jordanian,4871.494,6.279677,.2900938,21.83382,19.3083,218.7136,32.08096,5170,8,1,0.141160182265,0.134802416711,0.147550261061,0.128183611629,0.154201665204
Lebanese,32331.43,47.70651,6.002324,109.4774,389.1316,497.3815,64.87087,33446,8,1,0.0971274002405,0.094774756136,0.0994492098477,0.09240508095,0.101854055748
Saudi Arabian,128.301,.2241309,1.940133,0,0,58.93943,.5953478,190,8,1,0.365668268256,0.34215353438,0.389572773954,0.318294167141,0.411359159251
"Syrian (1990-2000, ACS, PRCS)",9758.375,14.50991,1.89397,33.42857,84.73411,193.7426,25.31606,10112,8,1,0.100409324783,0.0960311998024,0.104738114599,0.0916748505153,0.108972948095
Armenian,39660.05,31.43982,1.681382,7.697895,142.0464,632.2099,27.87448,40503,8,1,0.0606735791818,0.0588993179709,0.062414255302,0.0571403480821,0.0641595518715
Turkish,13949.37,30.48034,10.19128,53.55563,112.3285,368.3352,83.73677,14608,8,1,0.124730439789,0.12078684841,0.128642117123,0.116837682536,0.132474510962
Yemeni,1752.185,54.25237,0,161.4919,2.488958,143.7166,6.865375,2121,8,1,0.337906067973,0.326071991752,0.349664344482,0.314440077054,0.362250406056
Kurdish,937.0377,1.698562,4.269154,9.903225,3.207553,49.27347,4.610383,1010,8,1,0.17601809586,0.160122293662,0.191855689777,0.143322871501,0.208171184931
Palestinian,7572.43,19.67557,7.552726,64.06828,45.76856,332.6374,49.86723,8092,8,1,0.161266453451,0.155622159549,0.16687274727,0.150050070125,0.172653712037
Assyrian ,3994.398,0,.1787657,16.52172,6.369706,144.0476,2.483903,4164,8,1,0.0995140486941,0.0934450681787,0.105701719282,0.0873141348049,0.1118430052
"Chaldean (2000, ACS, PRCS)",3540.229,9.071027,3.545304,49.64309,5.870528,104.9711,2.670029,3716,8,1,0.124409516206,0.116871684419,0.132036994185,0.109523257371,0.139679765579
Middle Eastern,5923.079,20.64694,0,69.87485,42.43785,276.3258,46.63551,6379,8,1,0.176014094051,0.169462021924,0.182467678254,0.162985874121,0.189072707496
Arab,21007.82,205.1439,5.302821,353.9633,187.444,1350.777,154.5522,23265,8,1,0.224585235794,0.220983233588,0.228200298606,0.217401126904,0.231881772666
Other Arab,1632.578,99.26722,4.314349,13.29018,12.37276,148.0144,86.163,1996,8,1,0.370985653934,0.357875438296,0.383880073217,0.344564286471,0.397599803305
Cameroonian,4.518311,995.9658,0,0,0,3.502056,4.013839,1008,9,2,0.0407098473923,0.0317765548603,0.0498332280684,0.0213525284891,0.0592747769141
Cape Verdean,677.564,3533.632,13.55646,3.767899,50.85667,766.0797,3190.544,8236,9,2,0.618108084962,0.614062818396,0.622105712437,0.61012486146,0.626140044179
Congolese,2.798638,100.1483,0,2.053016,0,0,0,105,9,2,0.117814862423,0.0773171382571,0.157576991886,0.0428771679351,0.19688071152
Ethiopian,108.5191,10714.54,7.559742,16.14148,22.6642,157.4621,48.10882,11075,9,2,0.0970430905126,0.0929302517003,0.101219890964,0.0885028116616,0.105466775228
Eritrean,37.92546,2146.507,3.498472,0,.9295457,29.74546,4.394216,2223,9,2,0.0965177468328,0.0873189062259,0.105641048897,0.0785816865909,0.114318617529
Ghanian,26.3773,6961.116,3.663954,30.68363,7.161365,39.55801,6.439677,7075,9,2,0.0550619564786,0.0506225609077,0.0594542181423,0.0462435383429,0.0638206645928
Kenyan,23.26782,3055.699,2.244145,11.86075,4.804253,39.47913,1.644626,3139,9,2,0.0815180810486,0.0740606336157,0.0891080284937,0.0661862197385,0.0962726857227
Liberian,14.25916,3476.069,.3527267,0,3.669858,21.59137,5.05825,3521,9,2,0.0433766210948,0.0379230944533,0.0488609621544,0.0322056707089,0.05415564094
Nigerian,125.9418,20920.92,4.363812,13.07429,142.514,164.6503,43.53524,21415,9,2,0.0733596920704,0.0706074903322,0.0761453667668,0.0678017671501,0.0789283727553
Senegalese,4.663619,493.0748,0,2.736447,.521228,3.003919,0,504,9,2,0.0694638366375,0.0532001317184,0.0868234697535,0.0342305542944,0.102342953412
Sierra Leonean,12.14921,1220.074,0,0,1.071359,22.06999,2.635542,1258,9,2,0.0853289026816,0.0741187727879,0.0966191417893,0.0622444580077,0.107657687074
Somalian,18.17627,5652.459,45.43166,1.831438,5.710482,88.70763,4.683676,5817,9,2,0.0838794493752,0.0785560725277,0.0892876207332,0.0729189786535,0.0945457749643
Sudanese,76.37895,2062.018,1.620962,18.99948,11.41131,133.287,286.2838,2590,9,2,0.384111894729,0.372884266962,0.395199343942,0.361335342208,0.406387674855
Ugandan,0,84.32361,0,.6763926,0,0,0,85,9,2,0.027144432645,0.0148093986491,0.0476792175023,-0.0307872653854,0.0476792175023
West African,18.49288,868.4671,0,0,0,4.519692,1.520368,893,9,2,0.0755425588757,0.0632677207487,0.0879564855717,0.0503479723295,0.0993963735949
African,1364.784,128015,67.82757,73.63813,693.3727,1808.155,173.2365,132196,9,2,0.0932142959569,0.092013737719,0.0944056920603,0.0908245305355,0.0956387822453
Afghan,5953.97,40.61919,3.105604,621.7982,27.22902,1314.797,23.48118,7985,10,4,0.401593144624,0.39617683,0.407039614536,0.390644615323,0.412722594386
"Bangladeshi (1990-2000, ACS, PRCS)",117.5853,55.87329,20.34723,10794.75,6.112105,167.2671,71.06094,11233,10,4,0.114453783725,0.110000167184,0.118877398875,0.105616216278,0.123420531151
"Bengali (1990-2000, ACS, PRCS)",14.71484,7.838902,8.708953,2216.078,5.000679,69.46045,4.198205,2326,10,4,0.128011056007,0.118031333433,0.13779952496,0.10847360354,0.147748156727
Bhutanese,0,0,0,116.3809,0,.6190871,0,117,10,4,0.0190727509387,0.00846034888815,0.0339305125957,-0.0277629913262,0.0339305125957
Nepali,88.90649,.599747,8.260515,3250.413,2.590907,106.0832,13.14645,3470,10,4,0.156782205376,0.148435819451,0.165189971095,0.139934060984,0.173447439399
"India (1990-2000, ACS, PRCS)",3920.269,2451.837,1332.056,217242.1,675.2426,6697.815,7103.718,239423,10,4,0.232440394477,0.231266860068,0.233625003462,0.230057998711,0.234823468016
Punjabi,27.22172,61.1315,15.93768,1875.778,4.513617,35.0629,39.35413,2059,10,4,0.228198783922,0.215350743058,0.240912865441,0.202144991677,0.253834135155
"Pakistani (1990-2000, ACS, PRCS)",1555.679,118.2924,23.80693,32418.83,37.14063,934.2094,101.0392,35189,10,4,0.183967974892,0.181323838035,0.186621329242,0.178563830606,0.189350916002
Kashmiri (1990-2000),.642409,0,0,53.96236,0,9.395232,0,64,10,4,0.251032070237,0.204980167554,0.303206508419,0.15678942447,0.343908980129
Sri Lankan,114.3776,29.00957,12.91528,4109.414,8.075611,123.7153,16.49285,4414,10,4,0.1770375839,0.169183833619,0.18488335202,0.1612088655,0.19278725461
"Burmese (1990-2000, ACS, PRCS)",36.9919,6.397529,1.079995,4106.298,8.277215,69.04549,9.909574,4238,4,4,0.0914659727556,0.0849863059796,0.0980314205971,0.0783152436259,0.104337110968
Cambodian,257.0536,25.26508,16.48859,24068.98,132.7892,564.2019,21.22035,25086,4,4,0.111841510083,0.108974405126,0.11468605436,0.106117624069,0.117547345862
Chinese,2268.965,456.4748,108.9356,326605.5,867.225,5546.213,134.6481,335988,4,4,0.0817752762653,0.0810879869263,0.0824648030119,0.080371166626,0.0831628505914
"Cantonese (1990-2000, ACS, PRCS)",7.152375,11.51238,.8205636,3591.864,5.792934,46.85785,0,3664,4,4,0.0607250529543,0.0547010836877,0.0668741102333,0.0483922253192,0.0728027230205
"Mongolian (1990-2000, ACS, PRCS)",85.7744,1.596813,.1724558,831.4924,22.2979,26.77536,1.890627,970,4,4,0.28760687599,0.270258666633,0.304473975295,0.254162082117,0.322335033387
Tibetan,4.020091,0,0,185.0175,3.610301,4.248328,.1037443,197,4,4,0.158166550057,0.125117393128,0.19470025616,0.0893041713348,0.226311210738
Hong Kong (1990-2000),1.67822,2.812152,0,515.0321,.8164313,9.661104,0,530,4,4,0.0828062489566,0.0654593293346,0.0998658651502,0.0466866072874,0.116607009621
Filipino,7154.093,470.5059,665.0571,258023.3,2188.419,16559.74,187.921,285249,4,4,0.213420979244,0.21245723401,0.214377361566,0.211472009763,0.215343601762
"Indonesian (1990-2000, ACS, PRCS)",251.0343,9.960013,23.93322,5098.432,21.83541,349.3849,25.41992,5780,4,4,0.254829653337,0.24769875767,0.261963061344,0.240511675883,0.26896156118
"Japanese (1990-2000, ACS, PRCS)",5402.385,198.9316,119.8056,107807.4,626.4597,10923.05,134.9947,125213,4,4,0.271360346506,0.269919641508,0.272796476568,0.268498919313,0.27430636949
Okinawan,74.00399,.4047747,1.437648,1079.115,1.954085,136.8557,1.228282,1295,4,4,0.299011934864,0.285538290027,0.312399470742,0.27219406471,0.326107159093
Korean,2978.934,235.5785,35.74756,150844.4,258.0992,5680.6,166.6374,160200,4,4,0.14295243078,0.141797852004,0.144102049872,0.140604462789,0.145279649329
Laotian,136.0042,12.21107,25.46234,20835.78,67.73074,535.3062,39.5096,21652,4,4,0.103899658622,0.100914991522,0.106881189565,0.0978435503973,0.109895638857
Hmong,30.96484,4.033734,11.3131,18398.06,30.75298,187.9161,29.9564,18693,4,4,0.051298784882,0.0488049299105,0.0538271269993,0.0461319878327,0.0564062136305
"Malaysian (1990-2000, ACS, PRCS)",49.78984,10.73984,16.593,2506.606,10.93531,129.7902,9.545316,2734,4,4,0.201864422933,0.191267923617,0.212275125791,0.18059405506,0.222324023837
Thai,709.5141,40.47171,31.8162,16551.32,58.61557,1310.076,25.18328,18727,4,4,0.241675196473,0.23787568133,0.245474952776,0.233983455393,0.249363643597
Taiwanese,309.6962,38.4393,19.4132,35784.5,45.82922,771.8124,31.30744,37001,4,4,0.0917767655077,0.0896081922138,0.0938875473079,0.0874683300804,0.0961138873032
"Vietnamese, Annamese",1136.958,58.79781,38.42451,146855,262.8366,2573.811,88.17283,151014,4,4,0.0790978298872,0.078074028567,0.0801050019606,0.0770866116219,0.0811758250526
Eurasian,465.0943,0,.1188853,62.35536,20.74549,524.8045,376.8814,1450,4,4,0.658416580877,0.650713630825,0.666034368634,0.643648238286,0.67349943835
"Amerasian (1990-2000, ACS, PRCS)",100.3075,2.256114,0,57.91408,4.920476,255.1915,209.4103,630,4,4,0.671481882952,0.658410840145,0.684575190225,0.645070215827,0.698596619342
Asian,2755.757,560.633,237.1363,38556.42,309.0704,3808.351,274.6307,46502,4,4,0.345135869907,0.342478665293,0.347776392232,0.339777138451,0.350501143598
Australian,6296.634,39.53315,5.313291,8.365607,17.71474,49.48143,5.957669,6423,1,1,0.0647269415369,0.0599250891113,0.0695305399627,0.0548640257407,0.0743268300369
New Zealander,1529.399,2.416652,7.888318,2.325458,4.981496,50.98909,0,1598,1,1,0.111600368798,0.100667174637,0.122415274014,0.0897420799454,0.13351360496
"Polynesian (1990-2000, ACS, PRCS)",232.3124,5.439499,736.254,9.699593,22.70355,133.2016,2.389313,1142,5,3,0.522639997147,0.508472969136,0.536808927588,0.494372216742,0.551422856319
Hawaiian,2357.868,83.09026,14416.23,221.8398,1212.428,6251.33,19.21326,24562,5,3,0.5663280328,0.563475384935,0.569187120559,0.560608317748,0.572082644179
"Samoan (1990-2000, ACS, PRCS)",269.2597,147.0296,7450.236,23.36978,93.54676,735.9694,10.58838,8730,5,3,0.304615606943,0.29863987903,0.310633257343,0.292761941114,0.316804590902
Tongan,30.25652,41.88163,3242.746,8.971356,24.72862,228.4161,0,3577,5,3,0.209349208308,0.20069914172,0.218044173285,0.192136211164,0.226839799372
"Micronesian (1990-2000, ACS, PRCS)",9.97935,0,1157.337,4.837342,8.27571,41.52156,11.04879,1233,5,3,0.160337094213,0.145806547391,0.174903878823,0.131022510834,0.188328861154
Guamanian,263.6454,34.28871,2864.757,18.39664,235.2603,463.981,9.670411,3890,5,3,0.469568131217,0.460707929298,0.478421650607,0.451643129748,0.487551196598
Chamorro Islander,48.2602,10.28765,2089.31,7.087773,50.18231,168.8725,0,2374,5,3,0.258631265133,0.24758667897,0.269858181576,0.236006533065,0.280896174982
Marshall Islander,0,0,123.9484,0,.5996173,16.452,0,141,5,3,0.202727758915,0.17150021087,0.23169947975,0.142518769629,0.266389941972
Fijian,21.13588,10.2839,1353.473,291.742,11.72916,130.6164,48.01938,1867,5,3,0.47107044548,0.458209486054,0.484141022295,0.44556313107,0.496938353854
"Pacific Islander (1990-2000, ACS, PRCS)",568.8542,36.91167,1577.278,858.0982,72.04963,636.6282,31.17981,3781,5,3,0.7438140876,0.737852942966,0.749633817628,0.732185968074,0.756047400609
"Afro-American (1990-2000, ACS, PRCS)",388.931,86438.75,55.19108,9.094936,313.7334,977.3112,159.992,88343,2,2,0.0678758291237,0.0665578845703,0.0691994611176,0.0652215596627,0.0705176803003
"Black (1990-2000, ACS, PRCS)",1504.915,275639,146.5477,45.51712,1681.875,8520.931,375.1832,287914,2,2,0.111671531026,0.110850013025,0.112477435599,0.110045297561,0.113326111086
"Negro (1990-2000, ACS, PRCS)",75.63674,12054.28,8.588883,1.325365,87.16222,123.8956,9.108634,12360,2,2,0.0761598264838,0.0724969972419,0.0797337232365,0.0689259048394,0.0835618029311
"Creole (1990-2000, ACS, PRCS)",233.2819,1282.584,6.373419,1.8963,58.77606,292.5668,433.522,2309,2,2,0.642890238938,0.633940461959,0.65172024175,0.625511188003,0.661058320492
Afro,16.07397,1192.458,.4346575,0,3.7531,55.586,3.694588,1272,2,2,0.149706040006,0.136619828811,0.162907947383,0.12327360876,0.175463465065
"African-American (1990-2000, ACS, PRCS)",9298.125,2729456,878.4615,209.9838,8829.893,35847.71,1652.671,2786173,2,2,0.0622295303228,0.062008881071,0.0624513134481,0.061794372311,0.0626791023663
"Central American Indian (1990-2000, ACS, PRCS)",56.56681,94.42992,114.4078,71.2154,1526.309,44.97815,25.09327,1933,3,3,0.447891306103,0.433360827378,0.462371755563,0.418844922774,0.477355606124
"South Amerianc Indian (1990-2000, ACS, PRCS)",48.72632,31.48707,113.1088,22.22496,600.7832,38.29231,73.37732,928,3,3,0.63355912256,0.61455754653,0.652386536453,0.595855273787,0.672365200424
American Indian  (all tribes),121632.8,9232.464,141852.5,895.7583,4976.153,34998.1,325.1744,313913,3,3,0.598268294314,0.59756829278,0.598979896157,0.59683774123,0.599720010759
Cherokee,28686.11,2245.232,9657.321,16.31469,226.6129,7406.571,22.83858,48261,3,3,0.561711991059,0.559868842583,0.563594999408,0.557811129989,0.565530244664
Native American,56248.74,3930.808,74445.17,57.65799,3139.284,13508.21,148.1316,151478,3,3,0.574253434512,0.573242306002,0.575281205346,0.572155553089,0.57631957472
Indian,53409.59,7756.904,116.6297,18546.42,625.6207,1443.214,1898.626,83797,3,3,0.535811219145,0.534090183083,0.537550460731,0.53238384199,0.539290593016
Aleut,63.02759,17.64773,1109.727,0,2.226975,253.3709,0,1446,3,3,0.364934242936,0.352489594955,0.377226983784,0.340648815774,0.389736484631
Eskimo,695.952,8.770458,11234.7,.8584839,65.24478,1041.991,2.482643,13050,3,3,0.26772490313,0.263438718815,0.272058993102,0.259097714936,0.276333190994
"White/Caucasian (1990-2000, ACS, PRCS)",1043998,1323.729,418.0098,249.0466,9389.835,3673.309,236.2042,1059288,1,1,0.0468459827883,0.0465236166472,0.0471685533904,0.0462074271305,0.0474984195966
"Anglo (1990-2000, ACS, PRCS)",68109.06,23.92881,13.14113,5.851808,255.2152,107.4443,6.360661,68521,1,1,0.0221236067705,0.0211660139423,0.0230697750885,0.0202035639416,0.0240203287348
"Appalachian (1990-2000, ACS, PRCS)",1912.339,0,.1897986,.3202851,5.468571,9.845801,5.836306,1934,1,1,0.0388698703899,0.0317818683513,0.0459592157761,0.0244039795867,0.0523194372862
French Canadian,167034.9,386.3828,847.8677,32.69632,292.1983,747.0379,25.94761,169367,1,1,0.0472779838814,0.0464362333121,0.0481166320781,0.0455822543798,0.0489311874655
"Acadian (1990-2000, ACS, PRCS)",1174.721,7.185976,0,2.139514,0,4.092983,.8604567,1189,1,1,0.0415163122308,0.0322332577054,0.0506302517355,0.0222295231912,0.0590776998423
"Cajun (1990-2000, ACS, PRCS)",8388.132,118.2458,13.57692,7.306224,31.00831,66.64197,8.088623,8633,1,1,0.0860932883682,0.0816027757478,0.090637352792,0.0768669852139,0.0952534162107
