ancestr1d,white,black,indig,asian,latino,mixed,other,raceshort,rancestry1,rancestry1s
"Alsatian",629.7595,0,3.916136,0,0,0,10.32436,644,1,1
"Austrian",30928.03,18.99342,5.155703,13.91067,92.25547,47.65377,12.0016,31118,1,1
"Belgian",17836.5,27.07027,4.856213,3.187668,40.81709,29.99645,28.57694,17971,1,1
"Flemish",569.754,0,0,.7971825,0,.6814624,3.76733,575,1,1
"British",91306.78,970.1521,14.64692,115.4479,187.1031,260.4487,51.41848,92906,1,1
"British Isles",5458.981,22.90117,.7950015,0,.2692747,8.232113,7.821789,5499,1,1
"Danish",61326.22,49.22575,35.93017,9.981317,122.7304,115.8578,17.05945,61677,1,1
"Dutch",188149.5,301.7774,68.55331,112.3274,340.8861,450.2738,83.69216,189507,1,1
"English",1475830,9887.857,437.6409,454.7465,3005.809,3460.28,310.5112,1493387,1,1
"Finnish",39381.84,20.74917,12.67733,22.45173,83.08241,82.44548,11.75868,39615,1,1
"French (1990-2000,ACS, PRCS)",290311.2,2804.199,773.0221,84.81676,1358.854,1214.943,154.9639,296702,1,1
"German (1990-2000, ACS, PRCS)",2599898,1966.257,492.573,310.4092,4381.99,4742.331,631.0471,2612423,1,1
"Pennsylvania German (1990-2000, ACS, PRCS)",31596.12,25.11839,5.019095,3.334604,29.62183,48.31165,9.476692,31717,1,1
"Prussian",2399.976,0,0,2.227712,22.03366,18.81991,4.942356,2448,1,1
"Greek",89285.59,87.86586,21.70461,9.966842,267.4634,445.1388,33.2696,90151,1,1
"Icelander",2552.173,59.19725,47.0805,2.158107,17.22869,25.33063,.8318961,2704,1,1
"Irish, various subheads,",1448683,2024.929,412.2395,174.5084,2484.257,3633.71,390.916,1457804,1,1
"Celtic",4593.201,1.259372,1.191664,4.888531,27.8416,43.1572,13.46039,4685,1,1
"Irish Scotch",22620.7,10.42916,6.804766,0,31.40105,60.84019,2.829296,22733,1,1
"Italian (1990-2000, ACS, PRCS)",1022933,1294.462,252.4902,188.2224,7550.601,2813.95,529.3448,1035562,1,1
"Sicilian",6698.218,44.99492,3.678577,0,66.13421,51.53015,14.44368,6879,1,1
"Luxemburger",2246.346,0,0,.5444697,1.660632,.2586231,.1905644,2249,1,1
"Maltese",2593.265,.1906722,.3589123,.9421448,6.729606,7.660534,50.85339,2660,1,1
"Norwegian",255698,111.6352,87.87914,31.95009,446.9342,480.9689,52.65145,256910,1,1
"Portuguese",92786.24,742.7251,105.2072,98.73208,1317.81,1310.376,721.9066,97083,1,1
"Scotch Irish",301575.6,110.2521,43.61249,16.78984,345.056,529.7564,63.9803,302685,1,1
"Scottish",258425,265.1616,103.5061,15.67039,363.2034,650.4783,80.95006,259904,1,1
"Swedish",166435.4,62.8992,29.16921,25.23878,261.0768,298.49,56.744,167169,1,1
"Swiss",38232.4,8.432942,14.55071,11.0844,98.12996,67.74809,14.65418,38447,1,1
"Romansch (1980)",5114.389,3.501216,1.685023,0,5.166059,3.259057,0,5128,1,1
"Welsh",60125.74,24.50861,18.30452,5.083906,81.20709,131.3076,31.84519,60418,1,1
"Scandinavian, Nordic",39048.39,48.44636,2.474953,19.11649,84.47316,50.13739,8.959105,39262,1,1
"Albanian",14303.23,21.80207,11.52705,.1836315,35.74971,126.3134,15.19133,14514,1,1
"Belourussian",3401.154,1.816112,0,0,1.57184,18.16112,.2973751,3423,1,1
"Bulgarian",7185.694,.7097063,0,2.617618,18.42471,26.95962,3.594617,7238,1,1
"Carpatho Rusyn",58,0,0,0,0,0,0,58,1,1
"Turkestani (1990-2000, 2012 ACS)",30.76402,0,0,5.868511,0,58.36747,0,95,1,1
"Croatian",23077.88,26.13391,1.31456,6.662687,86.12056,91.65969,3.224606,23293,1,1
"Czechoslovakian",26162.56,8.548152,8.842916,10.00916,42.81766,46.44453,18.77518,26298,1,1
"Czech",52906.49,30.06547,9.614169,16.14066,86.73337,107.9233,18.02959,53175,1,1
"Bohemian (1990-2000, ACS, PRCS)",17653.01,211.4102,7.058063,1.2073,60.09967,49.95039,3.263691,17986,1,1
"Estonian",2043.388,.6400971,0,0,4.399213,2.630217,.9426885,2052,1,1
"Georgian",672.7725,4.395746,0,0,3.52617,1.74713,.5584432,683,1,1
"German from Russia (1990-2000); German Russian (ACS)",765.4602,182.7611,1.448709,0,10.77698,256.7866,11.76634,1229,1,1
"Rom",574.6002,2.653392,7.367293,.456811,60.00747,46.50725,26.40756,718,1,1
"Hungarian",74480.49,33.32401,5.854843,33.405,206.8287,184.3581,28.74196,74973,1,1
"Latvian",6203.039,2.572851,2.163534,24.14972,34.254,15.01609,20.80501,6302,1,1
"Lithuanian",36317.52,26.69171,2.357554,6.185662,105.5647,65.55634,7.119346,36531,1,1
"Macedonian",4048.299,0,0,0,15.76145,21.79047,8.149442,4094,1,1
"Polish",508089.8,305.5458,91.84585,44.40337,1181.863,965.4138,128.1759,510807,1,1
"Romanian (1990-2000, ACS, PRCS)",31196.01,32.28944,15.25776,10.88274,143.0004,136.692,19.87196,31554,1,1
"Moldavian",147.6979,0,0,0,0,.3020982,0,148,1,1
"Russian",178986.8,124.2733,13.15157,45.82251,535.7372,600.0871,125.1479,180431,1,1
"Serbian (1990-2000, ACS, PRCS)",11065.87,3.483927,0,0,37.73741,42.7629,2.147908,11152,1,1
"Bosnian (1990), Herzegovinian (2000, ACS, PRCS) ",12466.45,.6499738,.4689684,17.51638,33.97964,135.2028,73.735,12728,1,1
"Montenegrin (1990-2000, 2012 ACS)",48,0,0,0,0,0,0,48,1,1
"Slovak",45902.21,12.89759,3.563808,7.454904,46.69315,46.8871,7.29732,46027,1,1
"Slovene",10347.84,2.642619,.395158,0,14.83077,15.84337,3.445284,10385,1,1
"Uzbek",143.5299,0,0,.8231046,0,66.64702,0,211,1,1
"Ukrainian (1990-2000, ACS, PRCS)",68509.4,20.6937,7.672569,14.46668,234.0245,242.1641,26.576,69055,1,1
"Yugoslavian",13167.87,14.14932,1.632613,2.002262,55.95038,41.62651,.7701006,13284,1,1
"Slav",6766.108,40.84629,.4969711,3.005492,32.90659,52.98659,4.65023,6901,1,1
"Slavonian",359.9403,.593074,0,0,2.946837,1.519752,0,365,1,1
"Mexican (1990-2000, ACS, PRCS)",17612.73,444.2622,188.4367,89.0993,1926635,779.5576,4279.793,1950029,6,5
"Mexicano/Mexicana (1990-2000, ACS, PRCS)",421.861,4.688791,21.64659,0,115784,41.5479,184.2174,116458,6,5
"Mexican Indian",162.226,19.075,22.88291,3.072899,1952.646,10.8747,2.22276,2173,6,5
"Mexican American",6010.424,113.6893,32.80674,13.65738,339716.2,332.5282,788.7443,347008,6,5
"Mexican American Indian",459.4277,17.67822,223.0285,3.295635,11203.46,144.7841,43.32686,12095,6,5
"Chicano/Chicana",69.60263,1.921334,1.052159,2.367358,6572.725,5.638202,35.69336,6689,6,5
"Mexican state (1990-2000, ACS, PRCS)",564.703,26.64111,10.88005,.083436,36543.18,11.41404,93.09786,37250,6,5
"Costa Rican",288.6593,147.1115,.8630451,.5195029,7612.293,6.058074,40.49609,8096,6,5
"Guatemalan",725.4607,45.81281,84.0888,1.565802,66557.64,32.42483,357.0028,67804,6,5
"Honduran",536.1611,204.2054,12.04991,5.971952,37025.2,36.48898,135.9202,37956,6,5
"Nicaraguan",451.6131,61.62987,1.662463,4.631146,26226.12,14.23272,87.10965,26847,6,5
"Panamanian (1990-2000, ACS, PRCS)",422.998,1128.88,29.16161,12.41597,8681.609,66.37313,79.56226,10421,6,5
"Salvadoran",1051.71,31.53106,4.463438,6.842428,112029.3,65.99998,495.1849,113685,6,5
"Central American (1990-2000, ACS, PRCS)",127.1311,126.3595,40.53675,1.673635,3628.322,11.40028,59.57707,3995,6,5
"Latin American (1990-2000, ACS, PRCS)",303.777,25.89682,1.985987,4.806991,3265.414,27.92794,58.19167,3688,6,5
"Latino/Latina (1990-2000, ACS, PRCS)",500.4656,52.33132,5.004115,11.32463,22583.21,77.99206,304.6739,23535,6,5
"Latin (1990-2000, ACS, PRCS)",473.0057,30.21469,9.139211,33.69474,4833.613,29.26065,89.07208,5498,6,5
"Argentinean",896.8392,15.97222,.2133845,.0948375,9222.256,14.69982,32.92444,10183,6,5
"Bolivian",160.9398,3.123298,.5150989,.5069228,6252.713,21.06182,32.14054,6471,6,5
"Chilean",420.6653,.2054117,.5269257,.8930944,7990.971,6.662485,48.07527,8468,6,5
"Colombian",2110.318,84.26858,7.88417,4.41965,67426.43,71.13119,208.5485,69913,6,5
"Ecuadorian",659.8545,20.50026,7.994881,8.437811,37419.47,15.59113,137.1532,38269,6,5
"Paraguayan",41.77796,0,3.712535,0,675.5538,1.864234,1.091453,724,6,5
"Peruvian",940.6914,14.64697,6.522351,13.18227,34821.85,62.48024,167.6309,36027,6,5
"Uruguayan",103.8392,.655568,.7921447,5.865968,2519.061,2.717876,16.06824,2649,6,5
"Venezuelan",398.3152,30.95169,.3255437,1.185313,11852.74,12.81307,23.67287,12320,6,5
"South American (1990-2000, ACS, PRCS)",371.1786,372.8241,1.943797,49.99023,2162.243,19.17816,109.6417,3087,6,5
"Puerto Rican",4405.625,759.3993,34.43053,24.55737,267398.3,267.5959,1137.09,274027,6,5
"Cuban",4974.396,314.0535,8.169901,9.771667,126905.6,137.1523,155.8366,132505,6,5
"Dominican",1046.308,1202.752,134.7312,6.648169,97991.98,162.7744,658.8033,101204,6,5
"Hispanic",11582.05,745.9477,92.11349,67.04616,295538.6,1050.365,1938.866,311015,6,5
"Spanish American",2267.26,32.30201,13.31426,9.064562,8402.121,85.48295,171.455,10981,6,5
"Bahamian",266.366,2783.099,2.031865,0,35.77808,71.0386,13.68634,3172,7,2
"Barbadian",94.31385,4923.753,4.760531,3.281809,36.13806,56.12466,10.62772,5129,7,2
"Belizean",380.7683,2194.228,13.34088,11.59568,291.2683,181.8426,757.9562,3831,7,2
"Jamaican",1023.567,76092.21,62.49998,277.9308,609.5281,1772.225,398.043,80236,7,2
"Dutch West Indies",1401.592,239.9973,10.17709,1.967712,32.26624,85.83877,13.16039,1785,7,2
"Trinidadian/Tobagonian",298.3141,8808.041,46.11803,527.3109,109.5208,420.314,192.3815,10402,7,2
"Trinidadian",117.703,4518.353,49.75781,292.5845,49.71492,674.0897,78.7975,5781,7,2
"Antigua (1990-2000, ACS, PRCS)",2.091381,1382.412,0,0,1.400316,13.00293,11.09341,1410,7,2
"British West Indian",23.67861,1064.184,2.85941,2.634702,136.982,18.67886,5.982851,1255,7,2
"St Vincent Islander (1990); Vincent-Grenadine Islander (2000 Census, 2005 ACS, 2005 PRCS)",8.972288,1214.261,.8207732,.0787043,15.08874,18.42805,3.350554,1261,7,2
"Grenadian",46.83447,2312.911,0,1.229751,12.6266,48.29804,3.100359,2425,7,2
"St Lucia Islander",3.201706,1004.265,.976258,.7453153,9.416166,22.90532,5.490139,1047,7,2
"West Indian (1990-2000, ACS, PRCS)",368.557,14990.35,87.56629,475.4079,739.5138,672.7487,271.8604,17606,7,2
"Haitian",512.4202,67746.51,87.81294,287.9146,274.3577,1107.138,141.8492,70158,7,2
"Guyanese/British Guiana",409.6396,10006.6,199.898,2944.193,114.3043,979.9394,3230.428,17885,7,2
"Algerian",741.3737,68.41009,0,1.373001,.4398934,22.70117,18.70214,853,8,1
"Egyptian",16443.55,646.962,10.20779,31.31673,42.79568,552.7615,143.4098,17871,8,1
"Moroccan (1990-2000, ACS, PRCS)",3984.14,564.7703,56.85994,92.96868,28.49173,268.3575,114.4116,5110,8,1
"North African",46.90798,4.099224,0,0,0,6.992794,0,58,8,1
"Iranian",39608.58,41.2597,5.31687,516.119,100.3044,2414.605,211.8116,42898,8,1
"Iraqi",5319.262,15.9009,5.115811,45.10739,16.05796,232.2758,15.28012,5649,8,1
"Israeli",11575.11,125.8656,.7549194,10.05906,71.8546,89.21774,27.13788,11900,8,1
"Jordanian",4871.494,6.279677,.2900938,21.83382,19.3083,218.7136,32.08096,5170,8,1
"Lebanese",32331.43,47.70651,6.002324,109.4774,389.1316,497.3815,64.87087,33446,8,1
"Saudi Arabian",128.301,.2241309,1.940133,0,0,58.93943,.5953478,190,8,1
"Syrian (1990-2000, ACS, PRCS)",9758.375,14.50991,1.89397,33.42857,84.73411,193.7426,25.31606,10112,8,1
"Armenian",39660.05,31.43982,1.681382,7.697895,142.0464,632.2099,27.87448,40503,8,1
"Turkish",13949.37,30.48034,10.19128,53.55563,112.3285,368.3352,83.73677,14608,8,1
"Yemeni",1752.185,54.25237,0,161.4919,2.488958,143.7166,6.865375,2121,8,1
"Kurdish",937.0377,1.698562,4.269154,9.903225,3.207553,49.27347,4.610383,1010,8,1
"Palestinian",7572.43,19.67557,7.552726,64.06828,45.76856,332.6374,49.86723,8092,8,1
"Assyrian ",3994.398,0,.1787657,16.52172,6.369706,144.0476,2.483903,4164,8,1
"Chaldean (2000, ACS, PRCS)",3540.229,9.071027,3.545304,49.64309,5.870528,104.9711,2.670029,3716,8,1
"Middle Eastern",5923.079,20.64694,0,69.87485,42.43785,276.3258,46.63551,6379,8,1
"Arab",21007.82,205.1439,5.302821,353.9633,187.444,1350.777,154.5522,23265,8,1
"Other Arab",1632.578,99.26722,4.314349,13.29018,12.37276,148.0144,86.163,1996,8,1
"Cameroonian",4.518311,995.9658,0,0,0,3.502056,4.013839,1008,9,2
"Cape Verdean",677.564,3533.632,13.55646,3.767899,50.85667,766.0797,3190.544,8236,9,2
"Congolese",2.798638,100.1483,0,2.053016,0,0,0,105,9,2
"Ethiopian",108.5191,10714.54,7.559742,16.14148,22.6642,157.4621,48.10882,11075,9,2
"Eritrean",37.92546,2146.507,3.498472,0,.9295457,29.74546,4.394216,2223,9,2
"Ghanian",26.3773,6961.116,3.663954,30.68363,7.161365,39.55801,6.439677,7075,9,2
"Kenyan",23.26782,3055.699,2.244145,11.86075,4.804253,39.47913,1.644626,3139,9,2
"Liberian",14.25916,3476.069,.3527267,0,3.669858,21.59137,5.05825,3521,9,2
"Nigerian",125.9418,20920.92,4.363812,13.07429,142.514,164.6503,43.53524,21415,9,2
"Senegalese",4.663619,493.0748,0,2.736447,.521228,3.003919,0,504,9,2
"Sierra Leonean",12.14921,1220.074,0,0,1.071359,22.06999,2.635542,1258,9,2
"Somalian",18.17627,5652.459,45.43166,1.831438,5.710482,88.70763,4.683676,5817,9,2
"Sudanese",76.37895,2062.018,1.620962,18.99948,11.41131,133.287,286.2838,2590,9,2
"Ugandan",0,84.32361,0,.6763926,0,0,0,85,9,2
"West African",18.49288,868.4671,0,0,0,4.519692,1.520368,893,9,2
"African",1364.784,128015,67.82757,73.63813,693.3727,1808.155,173.2365,132196,9,2
"Afghan",5953.97,40.61919,3.105604,621.7982,27.22902,1314.797,23.48118,7985,10,4
"Bangladeshi (1990-2000, ACS, PRCS)",117.5853,55.87329,20.34723,10794.75,6.112105,167.2671,71.06094,11233,10,4
"Bengali (1990-2000, ACS, PRCS)",14.71484,7.838902,8.708953,2216.078,5.000679,69.46045,4.198205,2326,10,4
"Bhutanese",0,0,0,116.3809,0,.6190871,0,117,10,4
"Nepali",88.90649,.599747,8.260515,3250.413,2.590907,106.0832,13.14645,3470,10,4
"India (1990-2000, ACS, PRCS)",3920.269,2451.837,1332.056,217242.1,675.2426,6697.815,7103.718,239423,10,4
"Punjabi",27.22172,61.1315,15.93768,1875.778,4.513617,35.0629,39.35413,2059,10,4
"Pakistani (1990-2000, ACS, PRCS)",1555.679,118.2924,23.80693,32418.83,37.14063,934.2094,101.0392,35189,10,4
"Kashmiri (1990-2000)",.642409,0,0,53.96236,0,9.395232,0,64,10,4
"Sri Lankan",114.3776,29.00957,12.91528,4109.414,8.075611,123.7153,16.49285,4414,10,4
"Burmese (1990-2000, ACS, PRCS)",36.9919,6.397529,1.079995,4106.298,8.277215,69.04549,9.909574,4238,4,4
"Cambodian",257.0536,25.26508,16.48859,24068.98,132.7892,564.2019,21.22035,25086,4,4
"Chinese",2268.965,456.4748,108.9356,326605.5,867.225,5546.213,134.6481,335988,4,4
"Cantonese (1990-2000, ACS, PRCS)",7.152375,11.51238,.8205636,3591.864,5.792934,46.85785,0,3664,4,4
"Mongolian (1990-2000, ACS, PRCS)",85.7744,1.596813,.1724558,831.4924,22.2979,26.77536,1.890627,970,4,4
"Tibetan",4.020091,0,0,185.0175,3.610301,4.248328,.1037443,197,4,4
"Hong Kong (1990-2000)",1.67822,2.812152,0,515.0321,.8164313,9.661104,0,530,4,4
"Filipino",7154.093,470.5059,665.0571,258023.3,2188.419,16559.74,187.921,285249,4,4
"Indonesian (1990-2000, ACS, PRCS)",251.0343,9.960013,23.93322,5098.432,21.83541,349.3849,25.41992,5780,4,4
"Japanese (1990-2000, ACS, PRCS)",5402.385,198.9316,119.8056,107807.4,626.4597,10923.05,134.9947,125213,4,4
"Okinawan",74.00399,.4047747,1.437648,1079.115,1.954085,136.8557,1.228282,1295,4,4
"Korean",2978.934,235.5785,35.74756,150844.4,258.0992,5680.6,166.6374,160200,4,4
"Laotian",136.0042,12.21107,25.46234,20835.78,67.73074,535.3062,39.5096,21652,4,4
"Hmong",30.96484,4.033734,11.3131,18398.06,30.75298,187.9161,29.9564,18693,4,4
"Malaysian (1990-2000, ACS, PRCS)",49.78984,10.73984,16.593,2506.606,10.93531,129.7902,9.545316,2734,4,4
"Thai",709.5141,40.47171,31.8162,16551.32,58.61557,1310.076,25.18328,18727,4,4
"Taiwanese",309.6962,38.4393,19.4132,35784.5,45.82922,771.8124,31.30744,37001,4,4
"Vietnamese, Annamese",1136.958,58.79781,38.42451,146855,262.8366,2573.811,88.17283,151014,4,4
"Eurasian",465.0943,0,.1188853,62.35536,20.74549,524.8045,376.8814,1450,4,4
"Amerasian (1990-2000, ACS, PRCS)",100.3075,2.256114,0,57.91408,4.920476,255.1915,209.4103,630,4,4
"Asian",2755.757,560.633,237.1363,38556.42,309.0704,3808.351,274.6307,46502,4,4
"Australian",6296.634,39.53315,5.313291,8.365607,17.71474,49.48143,5.957669,6423,1,1
"New Zealander",1529.399,2.416652,7.888318,2.325458,4.981496,50.98909,0,1598,1,1
"Polynesian (1990-2000, ACS, PRCS)",232.3124,5.439499,736.254,9.699593,22.70355,133.2016,2.389313,1142,5,3
"Hawaiian",2357.868,83.09026,14416.23,221.8398,1212.428,6251.33,19.21326,24562,5,3
"Samoan (1990-2000, ACS, PRCS)",269.2597,147.0296,7450.236,23.36978,93.54676,735.9694,10.58838,8730,5,3
"Tongan",30.25652,41.88163,3242.746,8.971356,24.72862,228.4161,0,3577,5,3
"Micronesian (1990-2000, ACS, PRCS)",9.97935,0,1157.337,4.837342,8.27571,41.52156,11.04879,1233,5,3
"Guamanian",263.6454,34.28871,2864.757,18.39664,235.2603,463.981,9.670411,3890,5,3
"Chamorro Islander",48.2602,10.28765,2089.31,7.087773,50.18231,168.8725,0,2374,5,3
"Marshall Islander",0,0,123.9484,0,.5996173,16.452,0,141,5,3
"Fijian",21.13588,10.2839,1353.473,291.742,11.72916,130.6164,48.01938,1867,5,3
"Pacific Islander (1990-2000, ACS, PRCS)",568.8542,36.91167,1577.278,858.0982,72.04963,636.6282,31.17981,3781,5,3
"Afro-American (1990-2000, ACS, PRCS)",388.931,86438.75,55.19108,9.094936,313.7334,977.3112,159.992,88343,2,2
"Black (1990-2000, ACS, PRCS)",1504.915,275639,146.5477,45.51712,1681.875,8520.931,375.1832,287914,2,2
"Negro (1990-2000, ACS, PRCS)",75.63674,12054.28,8.588883,1.325365,87.16222,123.8956,9.108634,12360,2,2
"Creole (1990-2000, ACS, PRCS)",233.2819,1282.584,6.373419,1.8963,58.77606,292.5668,433.522,2309,2,2
"Afro",16.07397,1192.458,.4346575,0,3.7531,55.586,3.694588,1272,2,2
"African-American (1990-2000, ACS, PRCS)",9298.125,2729456,878.4615,209.9838,8829.893,35847.71,1652.671,2786173,2,2
"Central American Indian (1990-2000, ACS, PRCS)",56.56681,94.42992,114.4078,71.2154,1526.309,44.97815,25.09327,1933,3,3
"South Amerianc Indian (1990-2000, ACS, PRCS)",48.72632,31.48707,113.1088,22.22496,600.7832,38.29231,73.37732,928,3,3
"American Indian  (all tribes)",121632.8,9232.464,141852.5,895.7583,4976.153,34998.1,325.1744,313913,3,3
"Cherokee",28686.11,2245.232,9657.321,16.31469,226.6129,7406.571,22.83858,48261,3,3
"Native American",56248.74,3930.808,74445.17,57.65799,3139.284,13508.21,148.1316,151478,3,3
"Indian",53409.59,7756.904,116.6297,18546.42,625.6207,1443.214,1898.626,83797,3,3
"Aleut",63.02759,17.64773,1109.727,0,2.226975,253.3709,0,1446,3,3
"Eskimo",695.952,8.770458,11234.7,.8584839,65.24478,1041.991,2.482643,13050,3,3
"White/Caucasian (1990-2000, ACS, PRCS)",1043998,1323.729,418.0098,249.0466,9389.835,3673.309,236.2042,1059288,1,1
"Anglo (1990-2000, ACS, PRCS)",68109.06,23.92881,13.14113,5.851808,255.2152,107.4443,6.360661,68521,1,1
"Appalachian (1990-2000, ACS, PRCS)",1912.339,0,.1897986,.3202851,5.468571,9.845801,5.836306,1934,1,1
"French Canadian",167034.9,386.3828,847.8677,32.69632,292.1983,747.0379,25.94761,169367,1,1
"Acadian (1990-2000, ACS, PRCS)",1174.721,7.185976,0,2.139514,0,4.092983,.8604567,1189,1,1
"Cajun (1990-2000, ACS, PRCS)",8388.132,118.2458,13.57692,7.306224,31.00831,66.64197,8.088623,8633,1,1
